Modulator	Target	miRNA	CMI	p.value
ENSG00000135631	ENSG00000100767	MIMAT0000068	0.02253	0.139
ENSG00000135631	ENSG00000100767	MIMAT0000077	0.04412	0.038
ENSG00000135631	ENSG00000100767	MIMAT0000250	0.01258	0.965
ENSG00000135631	ENSG00000100767	MIMAT0000421	0.10328	0.883
ENSG00000100767	ENSG00000135631	MIMAT0000068	0.01949	0.181
ENSG00000100767	ENSG00000135631	MIMAT0000077	0.05106	0.047
ENSG00000100767	ENSG00000135631	MIMAT0000250	0.01436	1
ENSG00000100767	ENSG00000135631	MIMAT0000421	0.0504	1
ENSG00000100767	ENSG00000105855	MIMAT0000077	0.03799	0.03
ENSG00000100767	ENSG00000105855	MIMAT0000250	0.0614	0.003
ENSG00000100767	ENSG00000105855	MIMAT0000265	0.04035	0.233
ENSG00000100767	ENSG00000105855	MIMAT0000421	0.08391	1
ENSG00000100767	ENSG00000105855	MIMAT0001412	0.011	0.143
ENSG00000100767	ENSG00000105855	MIMAT0004958	0.05723	0.001
ENSG00000105855	ENSG00000100767	MIMAT0000077	0.04594	0.043
ENSG00000105855	ENSG00000100767	MIMAT0000250	0.0637	0.008
ENSG00000105855	ENSG00000100767	MIMAT0000265	0.05878	0.187
ENSG00000105855	ENSG00000100767	MIMAT0000421	0.09728	0.966
ENSG00000105855	ENSG00000100767	MIMAT0001412	0.02606	0.128
ENSG00000105855	ENSG00000100767	MIMAT0004958	0.05204	0.001
ENSG00000106348	ENSG00000105855	MIMAT0000077	0.02965	0.105
ENSG00000106348	ENSG00000105855	MIMAT0000421	0.10733	0.954
ENSG00000105855	ENSG00000106348	MIMAT0000077	0.02858	0.354
ENSG00000105855	ENSG00000106348	MIMAT0000421	0.07705	0.97
ENSG00000106665	ENSG00000105855	MIMAT0000077	0.03187	0.091
ENSG00000106665	ENSG00000105855	MIMAT0000421	0.09738	0.995
ENSG00000105855	ENSG00000106665	MIMAT0000077	0.02721	0.107
ENSG00000105855	ENSG00000106665	MIMAT0000421	0.0902	0.999
ENSG00000114529	ENSG00000105855	MIMAT0000077	0.03834	0.036
ENSG00000114529	ENSG00000105855	MIMAT0000421	0.09041	1
ENSG00000114529	ENSG00000105855	MIMAT0003150	0.06016	0.017
ENSG00000105855	ENSG00000114529	MIMAT0000077	0.08889	0.008
ENSG00000105855	ENSG00000114529	MIMAT0000421	0.10404	0.97
ENSG00000105855	ENSG00000114529	MIMAT0003150	0.06749	0.008
ENSG00000123095	ENSG00000105855	MIMAT0000421	0.09021	1
ENSG00000123095	ENSG00000105855	MIMAT0004958	0.03034	0.021
ENSG00000105855	ENSG00000123095	MIMAT0000421	0.05604	1
ENSG00000105855	ENSG00000123095	MIMAT0004958	0.02692	0.019
ENSG00000135631	ENSG00000105855	MIMAT0000072	0.03208	0.017
ENSG00000135631	ENSG00000105855	MIMAT0000077	0.01568	0.317
ENSG00000135631	ENSG00000105855	MIMAT0000250	0.01639	0.43
ENSG00000135631	ENSG00000105855	MIMAT0000421	0.08646	1
ENSG00000135631	ENSG00000105855	MIMAT0003150	0.03887	0.134
ENSG00000105855	ENSG00000135631	MIMAT0000072	0.02917	0.021
ENSG00000105855	ENSG00000135631	MIMAT0000077	0.0222	0.422
ENSG00000105855	ENSG00000135631	MIMAT0000250	0.01628	1
ENSG00000105855	ENSG00000135631	MIMAT0000421	0.07076	0.974
ENSG00000105855	ENSG00000135631	MIMAT0003150	0.02756	0.214
ENSG00000151746	ENSG00000105855	MIMAT0000250	0.03154	0.127
ENSG00000151746	ENSG00000105855	MIMAT0000418	0.05537	0.046
ENSG00000151746	ENSG00000105855	MIMAT0000421	0.12612	0.736
ENSG00000151746	ENSG00000105855	MIMAT0003150	0.04089	0.129
ENSG00000105855	ENSG00000151746	MIMAT0000250	0.06153	0.196
