gene	miRNAs
ENSG00000110427	MIMAT0000068,MIMAT0000077,MIMAT0000090,MIMAT0000243,MIMAT0000252,MIMAT0000265,MIMAT0000268,MIMAT0000414,MIMAT0000421,MIMAT0000423,MIMAT0000424,MIMAT0000431,MIMAT0000459,MIMAT0000460,MIMAT0000724,MIMAT0000728,MIMAT0002809,MIMAT0002820,MIMAT0003301,MIMAT0003393,MIMAT0004957,MIMAT0005941
ENSG00000105855	MIMAT0000070,MIMAT0000072,MIMAT0000077,MIMAT0000250,MIMAT0000265,MIMAT0000268,MIMAT0000418,MIMAT0000421,MIMAT0001412,MIMAT0003150,MIMAT0004958,MIMAT0004798
ENSG00000151746	MIMAT0000068,MIMAT0000104,MIMAT0000243,MIMAT0000250,MIMAT0000255,MIMAT0000276,MIMAT0000414,MIMAT0000418,MIMAT0000420,MIMAT0000421,MIMAT0000423,MIMAT0000460,MIMAT0000681,MIMAT0003150
ENSG00000163596	MIMAT0000077,MIMAT0000080,MIMAT0000086,MIMAT0000091,MIMAT0000100,MIMAT0000104,MIMAT0000243,MIMAT0000252,MIMAT0000255,MIMAT0000421,MIMAT0000437,MIMAT0000460,MIMAT0000759,MIMAT0002809,MIMAT0002819,MIMAT0003301,MIMAT0000731,MIMAT0009199,MIMAT0022833
ENSG00000106665	MIMAT0000076,MIMAT0000077,MIMAT0000104,MIMAT0000419,MIMAT0000421,MIMAT0000425,MIMAT0000445,MIMAT0000770,MIMAT0003258,MIMAT0000765,MIMAT0004957,MIMAT0007885,MIMAT0022491
ENSG00000123095	MIMAT0000074,MIMAT0000081,MIMAT0000090,MIMAT0000092,MIMAT0000243,MIMAT0000255,MIMAT0000264,MIMAT0000419,MIMAT0000421,MIMAT0000425,MIMAT0000437,MIMAT0000459,MIMAT0000460,MIMAT0002819,MIMAT0002820,MIMAT0004958,MIMAT0004693,MIMAT0004775
ENSG00000114529	MIMAT0000067,MIMAT0000068,MIMAT0000075,MIMAT0000077,MIMAT0000083,MIMAT0000086,MIMAT0000096,MIMAT0000104,MIMAT0000256,MIMAT0000421,MIMAT0000458,MIMAT0002819,MIMAT0003150
ENSG00000106348	MIMAT0000077,MIMAT0000098,MIMAT0000104,MIMAT0000243,MIMAT0000272,MIMAT0000419,MIMAT0000421
ENSG00000100767	MIMAT0000068,MIMAT0000077,MIMAT0000250,MIMAT0000255,MIMAT0000265,MIMAT0000276,MIMAT0000419,MIMAT0000421,MIMAT0001412,MIMAT0001631,MIMAT0003301,MIMAT0004958,MIMAT0002807,MIMAT0004504,MIMAT0009196,MIMAT0022271
ENSG00000135631	MIMAT0000068,MIMAT0000069,MIMAT0000072,MIMAT0000077,MIMAT0000080,MIMAT0000103,MIMAT0000104,MIMAT0000250,MIMAT0000421,MIMAT0000451,MIMAT0000461,MIMAT0000680,MIMAT0000681,MIMAT0002819,MIMAT0003150,MIMAT0000751
