geneA	geneB	mirnas
ENSG00000110427	ENSG00000105855	MIMAT0000077
ENSG00000110427	ENSG00000105855	MIMAT0000265
ENSG00000110427	ENSG00000105855	MIMAT0000268
ENSG00000110427	ENSG00000105855	MIMAT0000421
ENSG00000110427	ENSG00000151746	MIMAT0000068
ENSG00000110427	ENSG00000151746	MIMAT0000243
ENSG00000110427	ENSG00000151746	MIMAT0000414
ENSG00000110427	ENSG00000151746	MIMAT0000421
ENSG00000110427	ENSG00000151746	MIMAT0000423
ENSG00000110427	ENSG00000151746	MIMAT0000460
ENSG00000110427	ENSG00000163596	MIMAT0000077
ENSG00000110427	ENSG00000163596	MIMAT0000243
ENSG00000110427	ENSG00000163596	MIMAT0000252
ENSG00000110427	ENSG00000163596	MIMAT0000421
ENSG00000110427	ENSG00000163596	MIMAT0000460
ENSG00000110427	ENSG00000163596	MIMAT0002809
ENSG00000110427	ENSG00000163596	MIMAT0003301
ENSG00000110427	ENSG00000106665	MIMAT0000077
ENSG00000110427	ENSG00000106665	MIMAT0000421
ENSG00000110427	ENSG00000106665	MIMAT0004957
ENSG00000110427	ENSG00000123095	MIMAT0000090
ENSG00000110427	ENSG00000123095	MIMAT0000243
ENSG00000110427	ENSG00000123095	MIMAT0000421
ENSG00000110427	ENSG00000123095	MIMAT0000459
ENSG00000110427	ENSG00000123095	MIMAT0000460
ENSG00000110427	ENSG00000123095	MIMAT0002820
ENSG00000110427	ENSG00000114529	MIMAT0000068
ENSG00000110427	ENSG00000114529	MIMAT0000077
ENSG00000110427	ENSG00000114529	MIMAT0000421
ENSG00000110427	ENSG00000106348	MIMAT0000077
ENSG00000110427	ENSG00000106348	MIMAT0000243
ENSG00000110427	ENSG00000106348	MIMAT0000421
ENSG00000110427	ENSG00000100767	MIMAT0000068
ENSG00000110427	ENSG00000100767	MIMAT0000077
ENSG00000110427	ENSG00000100767	MIMAT0000265
ENSG00000110427	ENSG00000100767	MIMAT0000421
ENSG00000110427	ENSG00000100767	MIMAT0003301
