geneA	geneB	mirnas
ENSG00000110427	ENSG00000106348	MIMAT0000243
ENSG00000106348	ENSG00000110427	MIMAT0000243
ENSG00000110427	ENSG00000106348	MIMAT0000243
ENSG00000106348	ENSG00000110427	MIMAT0000243
ENSG00000110427	ENSG00000106348	MIMAT0000243
ENSG00000106348	ENSG00000110427	MIMAT0000243
ENSG00000110427	ENSG00000106348	MIMAT0000243
ENSG00000106348	ENSG00000110427	MIMAT0000243
ENSG00000114529	ENSG00000106348	MIMAT0000077
ENSG00000105855	ENSG00000100767	MIMAT0000077
ENSG00000110427	ENSG00000163596	MIMAT0000252
ENSG00000135631	ENSG00000151746	MIMAT0000068
ENSG00000110427	ENSG00000105855	MIMAT0000268
