Source	Target	miRNA	CMI	p-value	p-adjusted
ENSG00000038427	ENSG00000139687	MIMAT0000231	0.041838640519442465	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000241	2.2422303179397382E-5	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000241	7.235971994702068E-5	0.001	0.00265716506867064
ENSG00000174059	ENSG00000038427	MIMAT0002819	0.020562246460460423	0.002	0.004855113636363637
ENSG00000038427	ENSG00000174059	MIMAT0002819	0.03682509654417513	0.004	0.008760358821016659
ENSG00000139687	ENSG00000038427	MIMAT0000242	0.03404591368888404	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000242	0.03776981718705323	0.001	0.00265716506867064
ENSG00000115414	ENSG00000038427	MIMAT0019924	0.005941530056489387	0.002	0.004855113636363637
ENSG00000038427	ENSG00000115414	MIMAT0019924	0.008227399847845103	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0002870	0.02886410345635457	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0002870	0.022442289054259497	0.001	0.00265716506867064
ENSG00000108821	ENSG00000038427	MIMAT0003885	0.06659708967371303	0.001	0.00265716506867064
ENSG00000038427	ENSG00000108821	MIMAT0003885	0.08247236389553093	0.001	0.00265716506867064
ENSG00000115414	ENSG00000169554	MIMAT0018000	0.03380626260824533	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0002853	0.008274530131894815	0.002	0.004855113636363637
ENSG00000169554	ENSG00000115414	MIMAT0018000	0.024351010336626133	0.001	0.00265716506867064
ENSG00000237984	ENSG00000101558	MIMAT0017999	0.010723150563288559	0.002	0.004855113636363637
ENSG00000101558	ENSG00000237984	MIMAT0017999	0.011382531411091504	0.001	0.00265716506867064
ENSG00000115414	ENSG00000171862	MIMAT0018000	0.01983007392351948	0.003	0.006869584635998213
ENSG00000171862	ENSG00000115414	MIMAT0018000	0.018600185699049185	0.001	0.00265716506867064
ENSG00000174059	ENSG00000038427	MIMAT0002853	0.010401016604599075	0.004	0.008760358821016659
ENSG00000038427	ENSG00000174059	MIMAT0002853	0.012244890655754416	0.002	0.004855113636363637
ENSG00000237984	ENSG00000070831	MIMAT0000103	0.043456810863603944	0.001	0.00265716506867064
ENSG00000139687	ENSG00000138767	MIMAT0005886	6.752397827108908E-5	0.001	0.00265716506867064
ENSG00000070831	ENSG00000237984	MIMAT0000103	0.03806047384786969	0.001	0.00265716506867064
ENSG00000174059	ENSG00000169554	MIMAT0016844	3.376053023286374E-5	0.001	0.00265716506867064
ENSG00000171862	ENSG00000174059	MIMAT0016844	1.1187207064667692E-5	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0002874	0.01861153925986187	0.001	0.00265716506867064
ENSG00000070831	ENSG00000115414	MIMAT0002874	0.020590644994597573	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0001536	0.030244100149465766	0.002	0.004855113636363637
ENSG00000237984	ENSG00000038427	MIMAT0000459	0.03676783529357388	0.001	0.00265716506867064
ENSG00000169554	ENSG00000115414	MIMAT0003885	0.02326519904723289	0.002	0.004855113636363637
ENSG00000237984	ENSG00000139687	MIMAT0003885	0.05221229261459562	0.001	0.00265716506867064
ENSG00000139687	ENSG00000237984	MIMAT0003885	0.03552189462490086	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0002853	0.013108401664008427	0.004	0.008760358821016659
ENSG00000237984	ENSG00000108821	MIMAT0016844	2.3492083110720665E-6	0.002	0.004855113636363637
ENSG00000108821	ENSG00000237984	MIMAT0016844	4.451797685179983E-5	0.001	0.00265716506867064
ENSG00000070831	ENSG00000115414	MIMAT0002846	0.003237167723260838	0.003	0.006869584635998213
ENSG00000070831	ENSG00000115414	MIMAT0002843	0.0037837191151333526	0.002	0.004855113636363637
ENSG00000139687	ENSG00000038427	MIMAT0000273	0.01714533734497653	0.002	0.004855113636363637
ENSG00000038427	ENSG00000139687	MIMAT0000273	0.017243426900423547	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000274	0.04007115352182149	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000274	0.03836603943378557	0.001	0.00265716506867064
ENSG00000070831	ENSG00000115414	MIMAT0002834	0.006783916534328658	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000272	0.031006058324485455	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000272	0.02271461244642207	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000279	0.038720490147532885	0.003	0.006869584635998213
ENSG00000038427	ENSG00000139687	MIMAT0000279	0.03112625310253268	0.001	0.00265716506867064
ENSG00000026508	ENSG00000038427	MIMAT0000686	0.02545520266287002	0.001	0.00265716506867064
ENSG00000038427	ENSG00000026508	MIMAT0000686	0.0241573202119288	0.001	0.00265716506867064
ENSG00000026508	ENSG00000038427	MIMAT0000684	8.13067729210778E-6	0.001	0.00265716506867064
ENSG00000026508	ENSG00000038427	MIMAT0000692	0.07742599057924028	0.001	0.00265716506867064
ENSG00000038427	ENSG00000026508	MIMAT0000692	0.054527153023588605	0.001	0.00265716506867064
ENSG00000070831	ENSG00000026508	MIMAT0019861	6.084409234182302E-7	0.004	0.008760358821016659
ENSG00000115414	ENSG00000070831	MIMAT0002820	0.023058497422092816	0.002	0.004855113636363637
ENSG00000070831	ENSG00000115414	MIMAT0002820	0.023861504859162663	0.004	0.008760358821016659
ENSG00000237984	ENSG00000038427	MIMAT0000414	0.04453445572205611	0.001	0.00265716506867064
ENSG00000038427	ENSG00000237984	MIMAT0000414	0.03321179484913517	0.001	0.00265716506867064
ENSG00000237984	ENSG00000038427	MIMAT0000415	0.07030820927683713	0.001	0.00265716506867064
ENSG00000038427	ENSG00000237984	MIMAT0000415	0.04639910612754046	0.001	0.00265716506867064
ENSG00000174059	ENSG00000026508	MIMAT0000103	0.04044733932866753	0.001	0.00265716506867064
ENSG00000026508	ENSG00000174059	MIMAT0000104	0.05541689729768989	0.001	0.00265716506867064
ENSG00000174059	ENSG00000026508	MIMAT0000104	0.044279269022958846	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000252	0.04110809992663324	0.004	0.008760358821016659
ENSG00000139687	ENSG00000038427	MIMAT0000256	0.04023893338050371	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000256	0.049532195200196916	0.001	0.00265716506867064
ENSG00000237984	ENSG00000038427	MIMAT0000418	0.06825010253182928	0.004	0.008760358821016659
ENSG00000038427	ENSG00000237984	MIMAT0000418	0.039404168149214866	0.001	0.00265716506867064
ENSG00000237984	ENSG00000038427	MIMAT0000419	0.06213649634723863	0.001	0.00265716506867064
ENSG00000038427	ENSG00000237984	MIMAT0000419	0.06783994866684323	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000257	0.037157725876169785	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000257	0.05770778288743412	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000258	0.04998869582242322	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000258	0.047275362729843416	0.001	0.00265716506867064
ENSG00000108821	ENSG00000101558	MIMAT0000688	0.016168778775957845	0.001	0.00265716506867064
ENSG00000108821	ENSG00000101558	MIMAT0000686	0.01686255915683912	0.001	0.00265716506867064
ENSG00000108821	ENSG00000101558	MIMAT0000684	6.800629690941463E-5	0.001	0.00265716506867064
ENSG00000101558	ENSG00000108821	MIMAT0000684	9.429203662007E-6	0.002	0.004855113636363637
ENSG00000237984	ENSG00000038427	MIMAT0000425	0.06055939226410137	0.001	0.00265716506867064
ENSG00000038427	ENSG00000237984	MIMAT0000425	0.0502881914770563	0.001	0.00265716506867064
ENSG00000108821	ENSG00000138767	MIMAT0000707	0.018656982153449318	0.001	0.00265716506867064
ENSG00000138767	ENSG00000108821	MIMAT0000707	0.019184855826566424	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000263	0.06368218564125616	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000266	0.04727027903803806	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000266	0.03576586437764883	0.001	0.00265716506867064
ENSG00000171862	ENSG00000169554	MIMAT0016844	1.164752613076994E-5	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000264	0.0331184343685247	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000264	0.03817183401129525	0.001	0.00265716506867064
ENSG00000139687	ENSG00000038427	MIMAT0000265	0.041560384767702886	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000265	0.037861489108462015	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000268	0.003364571972089882	0.004	0.008760358821016659
ENSG00000139687	ENSG00000038427	MIMAT0000269	0.03286030597172586	0.001	0.00265716506867064
ENSG00000038427	ENSG00000139687	MIMAT0000269	0.040348327996651244	0.001	0.00265716506867064
ENSG00000237984	ENSG00000038427	MIMAT0000430	0.048899234664542116	0.001	0.00265716506867064
ENSG00000038427	ENSG00000237984	MIMAT0000430	0.031948879479538096	0.001	0.00265716506867064
ENSG00000237984	ENSG00000038427	MIMAT0000439	0.028838462281502827	0.001	0.00265716506867064
ENSG00000038427	ENSG00000237984	MIMAT0000439	0.03279857008417119	0.001	0.00265716506867064
ENSG00000026508	ENSG00000174059	MIMAT0001413	0.04683317339710509	0.001	0.00265716506867064
ENSG00000174059	ENSG00000026508	MIMAT0001413	0.03572457815303916	0.001	0.00265716506867064
ENSG00000115414	ENSG00000038427	MIMAT0019945	2.4858038483276725E-4	0.001	0.00265716506867064
ENSG00000038427	ENSG00000115414	MIMAT0019945	2.9079074356750816E-4	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002878	0.021965762656139896	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002878	0.02002355504432049	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0001541	0.05502580551168228	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0001541	0.05511689294223927	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002870	0.043146605503074906	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002870	0.03593768262019709	0.001	0.00265716506867064
ENSG00000139687	ENSG00000169554	MIMAT0016844	1.9400798877756213E-4	0.001	0.00265716506867064
ENSG00000169554	ENSG00000139687	MIMAT0016844	1.6212172537118585E-4	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000231	0.1835800174062771	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000231	0.06808843382808882	0.001	0.00265716506867064
ENSG00000038427	ENSG00000070831	MIMAT0000436	0.03236760034539587	0.001	0.00265716506867064
ENSG00000070831	ENSG00000038427	MIMAT0000436	0.04129018911802047	0.001	0.00265716506867064
ENSG00000115414	ENSG00000026508	MIMAT0000430	0.004409947750497783	0.001	0.00265716506867064
ENSG00000101558	ENSG00000026508	MIMAT0004959	0.011702824703943304	0.003	0.006869584635998213
ENSG00000026508	ENSG00000101558	MIMAT0004958	0.02392592715556962	0.001	0.00265716506867064
ENSG00000101558	ENSG00000026508	MIMAT0004958	0.02160344286922464	0.001	0.00265716506867064
ENSG00000038427	ENSG00000070831	MIMAT0000439	0.015252628886841372	0.001	0.00265716506867064
ENSG00000070831	ENSG00000038427	MIMAT0000439	0.018986982655569806	0.001	0.00265716506867064
ENSG00000115414	ENSG00000026508	MIMAT0000418	0.045776719744647254	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000242	0.04460380429228422	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000242	0.036050881624122705	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000241	8.929706919019286E-5	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000241	1.355054399291317E-4	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002856	0.019993400094500943	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002856	0.01714084768286923	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002853	0.027233993691711172	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002853	0.027789896610097047	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000245	0.050738759573761234	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000245	0.039376844736222355	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000244	0.061024088695742086	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000244	0.0474520800230713	0.001	0.00265716506867064
ENSG00000138767	ENSG00000169554	MIMAT0005796	0.03458551987111952	0.002	0.004855113636363637
ENSG00000171862	ENSG00000038427	MIMAT0000243	0.05371349738307804	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000243	0.03942983504598609	0.001	0.00265716506867064
ENSG00000169554	ENSG00000138767	MIMAT0005796	0.04207631993740399	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0000274	0.017685619730628356	0.002	0.004855113636363637
ENSG00000070831	ENSG00000115414	MIMAT0000274	0.010579457757521673	0.001	0.00265716506867064
ENSG00000237984	ENSG00000169554	MIMAT0018000	0.05426409750162885	0.001	0.00265716506867064
ENSG00000169554	ENSG00000237984	MIMAT0018000	0.04757917708217157	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000252	0.04292477497164333	0.001	0.00265716506867064
ENSG00000038427	ENSG00000070831	MIMAT0000419	0.05965491672679607	0.001	0.00265716506867064
ENSG00000070831	ENSG00000038427	MIMAT0000419	0.056346224248439686	0.001	0.00265716506867064
ENSG00000038427	ENSG00000070831	MIMAT0000416	0.016857839325833558	0.001	0.00265716506867064
ENSG00000070831	ENSG00000038427	MIMAT0000416	0.036686911458455776	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002846	0.010876275695262734	0.002	0.004855113636363637
ENSG00000169554	ENSG00000038427	MIMAT0002846	0.01236089019237996	0.004	0.008760358821016659
ENSG00000138767	ENSG00000171862	MIMAT0005796	0.053203337948292365	0.001	0.00265716506867064
ENSG00000171862	ENSG00000138767	MIMAT0005796	0.04889670999566131	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000258	0.038763693344841824	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000258	0.039173854248481174	0.002	0.004855113636363637
ENSG00000038427	ENSG00000171862	MIMAT0000257	0.033140633067848715	0.003	0.006869584635998213
ENSG00000171862	ENSG00000038427	MIMAT0000256	0.04354761840338499	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000256	0.04937382103991307	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002843	0.014210279395641274	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002843	0.013288722744125304	0.004	0.008760358821016659
ENSG00000171862	ENSG00000038427	MIMAT0000255	0.043239209894301855	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000255	0.041528313235342236	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0000265	0.01872092619505469	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0000269	0.02877244484549277	0.001	0.00265716506867064
ENSG00000070831	ENSG00000115414	MIMAT0000269	0.029669148336074282	0.001	0.00265716506867064
ENSG00000171862	ENSG00000139687	MIMAT0016844	3.6206881069375714E-5	0.001	0.00265716506867064
ENSG00000139687	ENSG00000171862	MIMAT0016844	2.2954573985783102E-5	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0000271	0.05180031742746985	0.001	0.00265716506867064
ENSG00000138767	ENSG00000038427	MIMAT0018000	0.040654726299076266	0.001	0.00265716506867064
ENSG00000038427	ENSG00000138767	MIMAT0018000	0.045511276610547324	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000263	0.1707967416915021	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000263	0.07518180149296305	0.001	0.00265716506867064
ENSG00000038427	ENSG00000070831	MIMAT0000426	0.02441217119673351	0.004	0.008760358821016659
ENSG00000038427	ENSG00000070831	MIMAT0000429	0.04068368373185992	0.001	0.00265716506867064
ENSG00000070831	ENSG00000038427	MIMAT0000429	0.03818823233865343	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000269	0.03522692713477073	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000269	0.03245836434191368	0.001	0.00265716506867064
ENSG00000038427	ENSG00000169554	MIMAT0002834	0.03557372414759699	0.001	0.00265716506867064
ENSG00000169554	ENSG00000038427	MIMAT0002834	0.03175973476321538	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000268	0.011717322849820532	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000268	0.012881404102164548	0.002	0.004855113636363637
ENSG00000171862	ENSG00000038427	MIMAT0000266	0.0566667172408816	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000266	0.0532811963015987	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000265	0.0766514093489017	0.001	0.00265716506867064
ENSG00000038427	ENSG00000171862	MIMAT0000265	0.07816223980582336	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0000253	0.048379107069792794	0.001	0.00265716506867064
ENSG00000115414	ENSG00000070831	MIMAT0000257	0.046928719623233715	0.004	0.008760358821016659
ENSG00000070831	ENSG00000115414	MIMAT0000257	0.031548969990458774	0.002	0.004855113636363637
ENSG00000070831	ENSG00000115414	MIMAT0000256	0.03197706719363175	0.002	0.004855113636363637
ENSG00000115414	ENSG00000070831	MIMAT0000259	0.03225045101753434	0.003	0.006869584635998213
ENSG00000237984	ENSG00000171862	MIMAT0018000	0.04756020953815876	0.001	0.00265716506867064
ENSG00000171862	ENSG00000237984	MIMAT0018000	0.05099687329585621	0.001	0.00265716506867064
ENSG00000171862	ENSG00000038427	MIMAT0000275	0.05501897022032442	0.001	0.00265716506867064
